City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
42,Atar,20.5169,-13.0499,291.86,53,43,1.09,MR,2023-02-10 20:51:17
43,Montmagny,48.9734,2.3469,280.38,88,20,3.09,FR,2023-02-10 20:59:52
44,Saint-Philippe,-21.3585,55.7679,299.92,79,39,4.77,RE,2023-02-10 20:59:53
45,Isangel,-19.55,169.2667,301.33,86,100,9.14,VU,2023-02-10 21:00:53
46,Bonthe,7.5264,-12.505,298.56,77,7,3.57,SL,2023-02-10 21:00:54
47,Puerto Ayora,-0.7393,-90.3518,303.13,88,91,3.58,EC,2023-02-10 21:00:55
48,Qaanaaq,77.484,-69.3632,246.36,53,5,0.96,GL,2023-02-10 21:00:56
49,Mar Del Plata,-38.0023,-57.5575,304.72,83,0,7.2,AR,2023-02-10 20:58:31
50,Nea Alikarnassos,35.3333,25.1667,283.42,67,75,5.66,GR,2023-02-10 21:00:57
51,Vicente Guerrero,19.1194,-98.1708,295.48,29,62,4.54,MX,2023-02-10 21:00:57
52,Avarua,-21.2078,-159.775,300.18,83,40,3.09,CK,2023-02-10 21:00:58
53,Korla,41.7597,86.1469,274.19,47,100,4.26,CN,2023-02-10 21:00:58
54,Batticaloa,7.7102,81.6924,297.05,76,62,3.52,LK,2023-02-10 21:00:59
55,Lavrentiya,65.5833,-171.0,242.46,93,60,3.95,RU,2023-02-10 20:52:48
56,Yar-Sale,66.8333,70.8333,262.69,93,12,5.24,RU,2023-02-10 21:00:59
57,Vostok,46.4856,135.8833,258.95,98,98,1.45,RU,2023-02-10 21:01:00
58,Saint George,37.1041,-113.5841,287.56,19,0,1.34,US,2023-02-10 20:52:51
59,Tucurui,-3.7661,-49.6725,300.08,89,41,1.11,BR,2023-02-10 20:58:25
60,Kindu,-2.95,25.95,294.79,85,99,1.56,CD,2023-02-10 21:01:01
61,Trinidad,-14.8333,-64.9,301.14,78,75,3.6,BO,2023-02-10 21:01:01
62,Hobart,-42.8794,147.3294,290.07,93,75,2.06,AU,2023-02-10 21:01:02
63,Uvalde,29.3669,-99.767,287.7,30,0,7.2,US,2023-02-10 21:01:03
64,Berdigestyakh,62.0989,126.6992,234.03,100,98,1.27,RU,2023-02-10 21:01:04
65,Saldanha,-33.0117,17.9442,293.46,75,0,2.34,ZA,2023-02-10 21:01:05
66,Beringovskiy,63.05,179.3167,241.58,95,50,4.99,RU,2023-02-10 21:01:06
67,Talnakh,69.4865,88.3972,257.23,95,100,7.91,RU,2023-02-10 21:01:06
68,Tottori,35.5,134.2333,280.33,81,100,2.84,JP,2023-02-10 21:01:07
69,Nalut,30.3333,10.85,280.19,63,2,5.41,LY,2023-02-10 21:01:08
70,Pisco,-13.7,-76.2167,298.18,78,0,4.12,PE,2023-02-10 21:01:09
71,Sisimiut,66.9395,-53.6735,246.83,100,99,2.63,GL,2023-02-10 21:01:10
72,Tasiilaq,65.6145,-37.6368,266.24,94,100,2.7,GL,2023-02-10 21:01:11
73,Srisailam,16.0833,78.8667,293.32,52,49,0.64,IN,2023-02-10 21:01:12
74,Richards Bay,-28.783,32.0377,295.8,93,100,5.23,ZA,2023-02-10 21:01:13
75,Juneau,58.3019,-134.4197,276.05,79,90,1.94,US,2023-02-10 21:01:04
76,Yarada,17.65,83.2667,295.33,100,22,1.03,IN,2023-02-10 21:01:14
77,Arraial Do Cabo,-22.9661,-42.0278,300.13,69,75,6.69,BR,2023-02-10 21:00:04
78,Victoria,22.2855,114.1577,293.68,93,100,4.92,HK,2023-02-10 20:58:31
79,Chirnogi,44.1167,26.5667,270.73,71,0,2.98,RO,2023-02-10 20:58:14
80,Busselton,-33.65,115.3333,286.41,80,0,3.87,AU,2023-02-10 21:01:15
81,Port Lincoln,-34.7333,135.8667,291.02,77,86,6.8,AU,2023-02-10 20:55:17
82,Poronaysk,49.2167,143.1167,245.6,98,46,1.48,RU,2023-02-10 21:01:16
83,Sudak,44.85,34.9667,269.96,78,16,1.53,UA,2023-02-10 21:01:17
84,Arbazh,57.6804,48.3065,266.47,91,99,6.35,RU,2023-02-10 21:01:18
85,Solnechnyy,50.7214,136.6319,249.5,94,51,1.24,RU,2023-02-10 21:01:18
86,Nome,64.5011,-165.4064,248.81,89,89,4.24,US,2023-02-10 21:01:19
87,Klaksvik,62.2266,-6.589,280.66,80,100,15.2,FO,2023-02-10 20:52:50
