City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,The Valley,AI,18.217,-63.0578,302.07,69,20,4.12,few clouds
109,Baruun-Urt,MN,46.6806,113.2792,257.25,86,100,2.78,overcast clouds
110,Alice Springs,AU,-23.7,133.8833,292.9,56,1,0.0,clear sky
111,Port Augusta,AU,-32.5,137.7667,293.81,31,0,1.93,clear sky
112,Gaspe,CA,48.8334,-64.4819,268.1,53,100,4.63,overcast clouds
113,Paamiut,GL,61.994,-49.6678,255.55,81,1,5.97,clear sky
114,Carnarvon,AU,-24.8667,113.6333,296.49,74,94,7.94,overcast clouds
115,Guarapari,BR,-20.6667,-40.4975,301.42,81,100,6.89,overcast clouds
116,Iqaluit,CA,63.7506,-68.5145,248.0,77,100,1.54,light snow
117,Puerto Baquerizo Moreno,EC,-0.9,-89.6,302.7,74,20,2.57,light rain
118,Pittsburg,US,38.028,-121.8847,284.7,41,0,8.23,clear sky
119,Mount Gambier,AU,-37.8333,140.7667,285.8,73,100,2.14,overcast clouds
120,Ibra,OM,22.6906,58.5334,294.49,34,46,0.78,scattered clouds
121,Uyar,RU,55.81,94.3153,259.21,95,100,3.07,overcast clouds
122,Cape Town,ZA,-33.9258,18.4232,294.88,71,20,9.26,few clouds
123,Los Llanos De Aridane,ES,28.6585,-17.9182,290.01,85,20,9.26,few clouds
124,Shakhtinsk,KZ,49.71,72.5872,250.46,90,100,1.77,overcast clouds
125,Avarua,CK,-21.2078,-159.775,301.18,83,40,2.06,scattered clouds
126,Kirakira,SB,-10.4544,161.9205,300.19,84,100,2.54,overcast clouds
127,Dikson,RU,73.5069,80.5464,258.37,94,100,6.98,light snow
128,Bodden Town,KY,19.2833,-81.25,302.15,70,40,4.63,scattered clouds
129,Hobyo,SO,5.3505,48.5268,297.77,76,0,7.48,clear sky
130,Bocas Del Toro,PA,9.3333,-82.25,299.66,70,5,4.18,clear sky
131,Naze,JP,28.3667,129.4833,285.66,78,100,4.47,light rain
132,Isangel,VU,-19.55,169.2667,294.21,94,20,0.0,few clouds
133,Saint George,US,37.1041,-113.5841,281.48,71,100,2.24,overcast clouds
134,Nagahama,JP,35.3833,136.2667,273.7,92,90,6.89,light snow
135,Norman Wells,CA,65.282,-126.8329,240.17,75,20,1.03,few clouds
136,Upernavik,GL,72.7868,-56.1549,244.41,93,100,3.41,overcast clouds
137,Kokopo,PG,-4.352,152.2633,298.2,88,100,1.98,light rain
138,Sao Filipe,CV,14.8961,-24.4956,294.7,76,16,6.11,few clouds
139,Codrington,AU,-38.2667,141.9667,285.42,73,100,3.57,overcast clouds
140,Praia Da Vitoria,PT,38.7333,-27.0667,288.29,63,20,2.83,few clouds
141,Ribeira Grande,PT,38.5167,-28.7,288.37,63,20,3.6,few clouds
142,Nurota,UZ,40.5614,65.6886,274.99,82,53,1.33,broken clouds
143,Lagos,NG,6.5833,3.75,303.33,78,5,3.1,clear sky
144,Verkhoyansk,RU,67.5447,133.385,225.23,100,64,0.73,broken clouds
145,Salisbury,GB,51.0693,-1.7957,282.31,77,0,4.63,clear sky
146,Cabo Rojo,PR,18.0866,-67.1457,301.92,68,33,0.45,scattered clouds
147,Willowmore,ZA,-33.2926,23.4895,293.71,71,23,5.07,few clouds
148,Harper,LR,4.375,-7.7169,300.17,78,73,1.89,light rain
149,Whitehorse,CA,60.7161,-135.0538,258.76,81,75,1.03,broken clouds
150,Guerrero Negro,MX,27.9769,-114.0611,290.67,52,96,5.32,overcast clouds
151,Namibe,AO,-15.1961,12.1522,295.69,79,100,3.66,overcast clouds
152,Thompson,CA,55.7435,-97.8558,252.24,65,75,6.17,broken clouds
153,Sorland,NO,67.667,12.6934,280.07,91,100,9.12,overcast clouds
154,Vardo,NO,70.3705,31.1107,273.14,93,75,8.75,light rain
155,Chake Chake,TZ,-5.2459,39.7666,298.89,80,100,3.76,overcast clouds
156,Khani,GE,41.9563,42.9566,268.91,82,100,2.09,overcast clouds
157,Kaitangata,NZ,-46.2817,169.8464,285.9,93,100,1.77,overcast clouds
